distance;e_pol;e_pol_damp
1.434731;-20.051961123180437;-45.644373702351125
1.634731;-17.032733615890326;-35.65747362706634
1.834731;-14.55147707041266;-28.81790293392851
2.034731;-12.520388682262926;-23.947257941545352
2.234731;-10.854333961465894;-20.323304548864847
2.434731;-9.47985656490179;-17.517525081894526
2.634731;-8.337155589308612;-15.274664143656887
2.834731;-7.378980848915972;-13.438031320279055
3.034731;-6.568520123585327;-11.906900742032906
3.234731;-5.877221676881824;-10.613099869183749
3.434731;-5.282907450621413;-9.508218592741754
3.634731;-4.768259923513968;-8.556487692231675
3.834731;-4.319655439913656;-7.73065849566807
4.034731;-3.9262825746712946;-7.009494279148397
4.234731;-3.5794818849151273;-6.376157013221531
4.434731;-3.272252531723218;-5.817116162664598
4.634731;-2.9988827742594424;-5.321379235286041
4.834731;-2.75467182334526;-4.879931644350965
5.034731;-2.5357190131345324;-4.485319215183933
5.234731;-2.338762711573457;-4.131331507801317
5.434731;-2.161056170350494;-3.812758347429981
5.634731;-2.0002709933841087;-3.525200578702647
5.834731;-1.8544214141697501;-3.2649215813895536
6.034731;-1.7218043809597232;-3.028729785520255
6.234731;-1.6009517528939459;-2.813884990426883
6.434731;-1.4905918539823602;-2.6180231181796523
6.634731;-1.389618318464288;-2.439095354528514
6.834731;-1.29706466382111;-2.275318601307362
7.034731;-1.2120833984710735;-2.1251348842077133
7.234731;-1.133928746658915;-1.9871778982694477
7.434731;-1.061942279343444;-1.8602452791552377
7.634731;-0.9955408955732375;-1.7432754961182857
7.834731;-0.9342067172504113;-1.635328497709878
8.034731;-0.8774785509263479;-1.5355694220398994
