distance;e_lj;e_lj_damp
1.634731;-4.240358632389235;14.384381378786777
1.834731;-16.645827322896203;-2.3794014593803503
2.034731;-21.171830263941438;-9.744961004659011
2.234731;-21.613394425805968;-12.144423838407015
2.434731;-20.105668165971025;-12.067999648978287
2.634731;-17.83221312295275;-10.894704568604475
2.834731;-15.425153850249767;-9.366103378886685
3.034731;-13.183008650839337;-7.844628032391757
3.234731;-11.220878130874667;-6.484999938572743
3.434731;-9.557683731179552;-5.33237258905921
3.634731;-8.166494031573048;-4.378266262855341
3.834731;-7.006463409242165;-3.5954603534877503
4.034731;-6.037026458715844;-2.953814754238742
4.234731;-5.223382102992552;-2.426706974686149
4.434731;-4.53736378456227;-1.9925001536208908
4.634731;-3.956492784444542;-1.6339963234179438
4.834731;-3.462647616790959;-1.3373877957852542
5.034731;-3.041016445504901;-1.0914162434555
5.234731;-2.6794164771029845;-0.8868476808751247
5.434731;-2.3678083564995402;-0.7161061794200534
5.634731;-2.0980058370163617;-0.5730762516978234
5.834731;-1.8633652275869248;-0.45286506036712115
6.034731;-1.658467763725375;-0.35154235916484344
6.234731;-1.4789251305709814;-0.2659918930380445
6.434731;-1.321095983476479;-0.19366471927918694
6.634731;-1.181947328946784;-0.13247029288255785
6.834731;-1.058917352112054;-0.08066341462580207
7.034731;-0.9425987375166012;-0.029547251779961314
7.234731;-0.8479508373790845;0.005298314231448442
7.434731;-0.7640347953867228;0.034268204425070614
7.634731;-0.6894601303719593;0.058274470173088844
7.834731;-0.623053527639835;0.07806825281963192
8.034731;-0.5637918811840088;0.09429898992954278
