distance;e_lj;e_lj_damp
1.787181;53.40752005792601;88.55886945274304
1.987181;21.38068177363298;45.05449457886629
2.187181;4.659295237715025;21.696190690596225
2.387181;-3.4738650139718956;9.542099557019544
2.587181;-6.9433453157160265;3.480557967970608
2.787181;-8.003576647783403;0.6343726694921763
2.987181;-7.894185096785865;-0.5637282788342493
3.187181;-7.280355748163076;-0.9551132337651609
3.387181;-6.503138345630092;-0.9794118095231639
3.587181;-5.719566293033032;-0.8518938334219097
3.787181;-4.99048917993238;-0.6700161099098185
3.987181;-4.33660305530525;-0.4789419729826836
4.187181;-3.763247043119292;-0.30126576799208493
4.387181;-3.2681551714104646;-0.14742354659022983
4.587181;-2.8448071256811773;-0.020552888830323468
4.787181;-2.4848044080538387;0.08022334087857974
4.987181;-2.1793118517993957;0.1577768122631884
5.187181;-1.9199029212412455;0.2157396016456108
5.387181;-1.6989929144342635;0.2577982169100119
5.587181;-1.509985574662621;0.28734915254162097
5.787181;-1.3473465056089697;0.3072783617672368
5.987181;-1.2065567010358116;0.3198962558425369
6.187181;-1.0839763099840163;0.3269882392032111
6.387181;-0.9767185860059102;0.32987409876407536
6.587181;-0.8940824519191823;0.3179230727935165
