distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.434731;-58.88703102;169.25275185;-39.47238745;-68.0833916;2.80994177;-6.217408468074156;-18.955641100528027;-30.642436859747455;27.982991338602183;9.027350238074156
1.534731;-47.67772107;129.34031245;-36.17733693;-59.50165836;-14.01640391;-8.296334221087452;-17.399274028121226;-28.979947612636618;11.67920433920868;-5.720069688912547
1.634731;-39.10801768;98.24881257;-32.68488097;-52.00638881;-25.55047488;-9.832502023321705;-15.996285706960787;-27.276432396834274;0.278312850282493;-15.717972856678294
1.734731;-32.592148;74.20132803;-29.30155666;-45.48070161;-33.17307824;-10.944059397765493;-14.733418631064954;-25.585387362755696;-7.495600211169556;-22.22901884223451
1.834731;-27.65786899;55.72987731;-26.18617194;-39.81223514;-37.92639876;-11.726870388434293;-13.5969610425707;-23.943880372617727;-12.602567328995006;-26.199528371565705
1.934731;-23.92813287;41.6356328;-23.40355192;-34.89566938;-40.59172137;-12.257339611512538;-12.573593413832812;-22.375867119734334;-15.760788344654651;-28.334381758487464
2.034731;-21.10630853;30.95005719;-20.96269874;-30.63450188;-41.75345197;-12.595521146675882;-11.65086304858695;-20.89533370472761;-17.507067774737166;-29.15793082332412
2.134731;-18.96264248;22.89846928;-18.8425269;-26.94184193;-41.84854202;-12.788104868898964;-10.81741244401073;-19.50899930206688;-18.243024707090306;-29.060437151101034
2.234731;-17.322166;16.86708251;-17.00814826;-23.74055782;-41.20378957;-12.871078861519083;-10.06305216570249;-18.218498384248715;-18.269658542778426;-28.332710708480917
2.334731;-16.05368691;12.37390344;-15.42088901;-20.96298861;-40.06366109;-12.871993837950349;-9.378740792767308;-17.02206343560216;-17.812926459282338;-27.191667252049648
2.434731;-15.05990581;9.04374941;-14.04358135;-18.55029161;-38.61002936;-12.811827996099884;-8.756513435018894;-15.915775596637591;-17.041687928881217;-25.798201363900112
2.534731;-14.26910971;6.58712865;-12.84315442;-16.45163714;-36.97677263;-12.706487629353457;-8.189385392503947;-14.89446480621768;-16.080899608142595;-24.270285000646542
2.634731;-13.62841392;4.78251102;-11.79138351;-14.62328871;-35.26057512;-12.567994008614379;-7.671247329224994;-13.95233805812261;-15.021333782160628;-22.69258111138562
2.834731;-12.65223994;2.49851594;-10.04361293;-11.63257083;-31.82990777;-12.225555479114515;-6.761264816622142;-12.281747891420649;-12.843087474263342;-19.604352290885483
3.034731;-11.92972632;1.29001852;-8.65701583;-9.33714085;-28.63386449;-11.8332661071088;-5.991436195090088;-10.857948335316383;-10.809162187801114;-16.800598382891202
3.234731;-11.35385713;0.65756597;-7.5343215;-7.56009621;-25.79070887;-11.418654417098228;-5.334826273770936;-9.639987709287906;-9.037228179130835;-14.372054452901772
3.434731;-10.86540041;0.33012302;-6.60889299;-6.17224427;-23.31641465;-10.997260043161761;-4.770622964582913;-8.59324125045021;-7.548531642255325;-12.319154606838238
3.634731;-10.42880571;0.16271176;-5.83436369;-5.07908661;-21.17954426;-10.577880114376741;-4.282587577329179;-7.689128166336933;-6.31907656829408;-10.601664145623259
3.834731;-10.02237345;0.07849564;-5.17792112;-4.21091665;-19.33271557;-10.165518671377951;-3.8579146318922946;-6.904298731708871;-5.309282266729756;-9.16719689862205
