distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.434731;-9.251245326596171;-9.411067762249061;-6.217408468074156;-6.182429564904082;-6.185325625083931
1.634731;-11.574478225769829;-11.715913212466369;-9.832502023321705;-9.804977748733647;-9.760704855642944
1.834731;-12.709408990706498;-12.832618564464868;-11.726870388434293;-11.703715383977336;-11.630453278069348
2.034731;-13.14069785327282;-13.24609479411857;-12.595521146675882;-12.575099370667221;-12.484826973051144
2.234731;-13.167502249337694;-13.255789516071363;-12.871078861519083;-12.852491948614656;-12.752597274781733
2.434731;-12.967647375839903;-13.03979675519011;-12.811827996099884;-12.794561451194127;-12.689454366821003
2.634731;-12.644386203057444;-12.701581705014634;-12.567994008614379;-12.551740045130517;-12.44403425426089
2.834731;-12.256841369058142;-12.300409738862529;-12.225555479114515;-12.210122054562918;-12.101394604384401
3.034731;-11.838625747808292;-11.869968590731801;-11.8332661071088;-11.818528639453397;-11.709773465964918
3.234731;-11.408813732760613;-11.429348833520105;-11.418654417098228;-11.404529210829965;-11.296415253234278
3.434731;-10.978255916676012;-10.989370640607877;-10.997260043161761;-10.983689104917854;-10.876701929520262
3.634731;-10.553159989098022;-10.55617690640892;-10.577880114376741;-10.5648221328084;-10.459339209258149
3.834731;-10.137102796174718;-10.133256278734002;-10.165518671377951;-10.152943438505218;-10.049272957382508
4.034731;-9.732155301746127;-9.722577283096342;-9.763034407491777;-9.750919225723846;-9.649319563986882
4.234731;-9.339510846447084;-9.325223843994408;-9.37205846066451;-9.360385738919108;-9.261075067062858
4.434731;-8.959837113653464;-8.941752756298238;-8.99350577838188;-8.982261371334205;-8.885422522049193
4.634731;-8.593475041123233;-8.572396590079867;-8.62786128145479;-8.617033315445228;-8.522816583682745
4.834731;-8.240553111209145;-8.217180731549343;-8.275341618833297;-8.264919651721238;-8.17344485362573
5.034731;-7.901054822967202;-7.87599262029048;-7.935988272096515;-7.9259626919291195;-7.83732109159452
5.234731;-7.574860144913242;-7.548624208380169;-7.609722725533839;-7.600084325469551;-7.514340665760025
5.434731;-7.26177235571524;-7.234799239922195;-7.296380563742206;-7.287120249662453;-7.204314939265495
5.634731;-6.9615365163329805;-6.934191750612679;-6.995733727501298;-6.986842326349587;-6.906993752141369
5.834731;-6.673852989743342;-6.646439327720828;-6.707505971874176;-6.698974116313337;-6.622081019621877
6.034731;-6.398387882840634;-6.371153101823379;-6.431384282498188;-6.423202352755004;-6.349246203781593
6.234731;-6.134781448351117;-6.107925581912909;-6.167027760965793;-6.159185868678674;-6.088133180960079
6.434731;-5.882655032502329;-5.856336974671964;-5.914074815745808;-5.906562817737281;-5.838367356615781
6.634731;-5.641616910958574;-5.615960370496583;-5.672149131497117;-5.664956663918003;-5.599561515743629
6.834731;-5.411267225019942;-5.386366036563722;-5.440864694486766;-5.43398121986315;-5.37132070029907
7.034731;-5.191202159914465;-5.167124977963251;-5.219830047378764;-5.21324490881788;-5.153246298445123
7.234731;-4.981017468828488;-4.9578118828062605;-5.008651890634424;-5.002354368866395;-4.944939472131304
7.434731;-4.780311424868389;-4.758007540599759;-4.80693811730991;-4.800917487400735;-4.746004016934699
7.634731;-4.588687270309744;-4.567300806561233;-4.614300350898899;-4.608545936402032;-4.556048729101166
7.834731;-4.405755224009008;-4.385290173373418;-4.430356045544394;-4.42485726859716;-4.374689342850432
8.034731;-4.231134101538795;-4.211585003710758;-4.254730201039692;-4.249476627485425;-4.201550092847137
