distance,e_pair,e_lj
1.634731,-4.240359,-1.245055
1.734731,-11.752742,-12.771997
1.834731,-16.645827,-18.975874
1.934731,-19.605417,-21.899130
2.034731,-21.171830,-22.836715
2.134731,-21.741728,-22.604059
2.234731,-21.613394,-21.710877
2.334731,-21.011141,-20.472876
2.434731,-20.105668,-19.083116
2.534731,-19.014925,-17.657407
2.634731,-17.832213,-16.263118
2.834731,-15.425154,-14.937437
3.034731,-13.183009,-12.554752
3.234731,-11.220878,-10.547529
3.434731,-9.557684,-8.883252
3.634731,-8.166494,-7.510511
3.834731,-7.006463,-6.378185
4.034731,-6.037026,-5.441630
4.234731,-5.223382,-4.663863
4.434731,-4.537364,-4.014958
4.634731,-3.956493,-3.470929
4.834731,-3.462648,-3.012609
5.034731,-3.041016,-2.624667
5.234731,-2.679416,-2.294801
5.434731,-2.367808,-2.013100
5.634731,-2.098006,-1.771542
5.834731,-1.863365,-1.563600
6.034731,-1.658468,-1.383936
6.234731,-1.478925,-1.228165
6.434731,-1.321096,-1.092665
6.634731,-1.181947,-0.974432
6.834731,-1.058917,-0.870961
7.034731,-0.942599,-0.780157
7.234731,-0.847951,-0.700257
7.434731,-0.764035,-0.629774
7.634731,-0.689460,-0.567449
7.834731,-0.623054,-0.512213
8.034731,-0.563792,-0.463151
