distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.18436;51.34256240282097;52.30252707082482;67.22464805364137;62.73472496348259;62.20923745651419
1.38436;34.152923501286836;34.88969896374716;42.42570737578852;40.15798501702542;39.89261144636334
1.58436;25.673138306443178;26.23579985969212;30.140302711489728;28.965114578571693;28.827631607942934
1.78436;21.23118980083388;21.655839453464885;23.71442445122003;23.09455887437554;23.02208382735636
1.98436;18.74339308476223;19.057358788952353;20.154853239390473;19.824112376427074;19.785484295543387
2.18436;17.23349981220963;17.457950705718947;18.046985246357856;17.86920125082956;17.84847986618478
2.38436;16.224418922552616;16.376086395747144;16.693528566787823;16.59744537674612;16.586288954724573
2.58436;15.475401944663272;15.567746737683112;15.739435959862726;15.687199161046015;15.681176010225977
2.78436;14.862402252607646;14.906419106768684;14.999814763440554;14.971132634140249;14.967866986137661
2.98436;14.320909087869854;14.325688730136497;14.377108487586332;14.361057645940509;14.359270413197837
3.18436;13.817490763189145;13.790618208796547;13.819621345834678;13.81031973292677;13.80932198709343
3.38436;13.335167787037122;13.283010058567069;13.30009743614401;13.294387899279766;13.293809715770342
3.58436;12.865716015764146;12.793635077123996;12.80440667752107;12.800606235362732;12.800250287441143
3.78436;12.405550518579782;12.318065446404534;12.325475765645404;12.32269710236322;12.322459239041901
3.98436;11.9535019674136;11.854416348313586;11.85999994129363;11.857782715567671;11.857608804572983
4.18436;11.509609630118076;11.402114723882265;11.406651491081249;11.404762193714797;11.404624693061738
4.38436;11.074466731589311;10.961227286690043;10.965102293010784;10.963426004121198;10.96331129015414
4.58436;10.648868360969496;10.532095554604624;10.535492283379453;10.533974542088089;10.533876102790364
4.78436;10.233625995692021;10.115140403706055;10.118143361492667;10.116759309330925;10.11667412972566
4.98436;9.82947406010189;9.710760565403143;9.713408761591793;9.712147066860068;9.71207374435129
5.18436;9.4370273111212;9.319283238844339;9.32159723730158;9.320451971395633;9.320389761832217
5.38436;9.056766138024722;8.940943528037707;8.94293844960073;8.941905190568136;8.94185354914261
5.58436;8.689036956509145;8.575879658476564;8.57757085746045;8.576644997609606;8.576603377849121
5.78436;8.334060481330283;8.224136624544464;8.225541665403124;8.224717831623618;8.224685614780812
5.98436;7.991943795914382;7.885674106878021;7.8868129747933695;7.886084979498288;7.886061466241391
6.18436;7.6626939054165435;7.560376296570401;7.561270854345129;7.560631872244892;7.560616300990173
6.38436;7.346231467644649;7.248062286174745;7.248735491195037;7.248178307200443;7.2481698809876605
6.58436;7.042403977917535;6.948496275973074;6.948971403861957;6.948488657850381;6.9484865710692025
6.78436;6.750998023980714;6.661397186516266;6.661697167306529;6.661281563893527;6.661285025126109
6.98436;6.471750428333864;6.38644747013856;6.386594370647331;6.386238843849016;6.386247093635642
7.18436;6.204358215399276;6.123301034013803;6.12331568494566;6.123013518220583;6.123025841792756
