distance;e_lj;e_lj_damp
1.78436;207.93758876864715;202.7887008445143
1.98436;90.5496507836606;98.82930761563532
2.18436;35.10710294224839;47.31672491569051
2.38436;9.279504482569601;21.80475956619864
2.58436;-2.2236621333425166;9.349165964826362
2.78436;-6.805545030898315;3.474503544030725
2.98436;-8.12171786990668;0.876502155062326
3.18436;-7.975919872835007;-0.1307817954677084
3.38436;-7.240410238300097;-0.3939890534757282
3.58436;-6.324925860350081;-0.3311817315413812
3.78436;-5.414373421780812;-0.1459386842388568
3.98436;-4.58604083836667;0.06457671019594002
4.18436;-3.866055079668385;0.25633913945380193
4.38436;-3.2564815707249277;0.4121567247644169
4.58436;-2.7484507712326085;0.5284494419731542
4.78436;-2.3288050619241956;0.6082291211201376
4.98436;-1.9833989722712246;0.6573861230849838
5.18436;-1.698957222670911;0.6824611675150418
5.38436;-1.4637658714166863;0.6896477748321486
5.58436;-1.2680548267339833;0.6841647285975387
5.78436;-1.1039160489944697;0.6701448170448323
5.98436;-0.9651854686160917;0.6506015229829574
6.18436;-0.8470440513849817;0.6277091508350972
6.38436;-0.7457878100640825;0.6029392279541783
6.58436;-0.6585412963254871;0.5772728945536327
6.78436;-0.5830361007602602;0.5513633397516355
6.98436;-0.5174464771256373;0.5256528021882767
7.18436;-0.46029664349424615;0.5004270196351452
