distance;e_lj;e_lj_damp
1.733539;14.984141683714876;25.696520922224153
1.933539;-10.667774624288297;-1.3193061064439213
2.133539;-20.744844019956098;-12.618101975399068
2.333539;-23.16897663113294;-16.071981880447574
2.533539;-22.073515582965822;-15.834772477950478
2.733539;-19.586054159975795;-14.066944376564294
2.933539;-16.760017479417144;-11.850943866685046
3.133539;-14.07867659799396;-9.692435558875276
3.333539;-11.728769862222714;-7.794843843222337
3.533539;-9.750083897601769;-6.210431122095859
3.733539;-8.116428012586713;-4.922519254091734
3.933539;-6.778193334909862;-3.888933531709501
4.133539;-5.683114562891317;-3.063358262352722
4.333539;-4.784718110973011;-2.4041786366676625
4.533539;-4.044729135764072;-1.877151930703004
4.733539;-3.4325251892338464;-1.4550431174453164
4.933539;-2.9237706836474695;-1.1163889256619894
5.133539;-2.4992153014219083;-0.8443918406016735
5.333539;-2.1434133646146294;-0.6257123082562144
5.533539;-1.8440515837180171;-0.44985352801289435
5.733539;-1.591228758777626;-0.30848681965643543
5.933539;-1.3769200022578263;-0.1949530204370742
6.133539;-1.1946311895127124;-0.10394757783670538
6.333539;-1.0390651687236143;-0.03121225364668101
6.533539;-0.9058752262638854;0.026690050739690552
6.733539;-0.7915171663915843;0.07250522150719618
6.933539;-0.6930539651424896;0.10846805580954988
