distance;e_lj;e_lj_damp
1.78436;196.53902063448606;231.49989583440995
1.98436;83.22251518843144;110.72054582435717
2.18436;29.68321616118501;51.138788913387344
2.38436;4.877991191652622;21.92820777575059
2.58436;-5.995024281412457;7.8864672396122195
2.78436;-10.132297423861587;1.4237455184038446
2.98436;-11.096427494665013;-1.300678047073891
3.18436;-10.642772349289743;-2.2214954200129533
3.38436;-9.628146725233814;-2.30894895590621
3.58436;-8.461009916020416;-2.0443405914496093
3.78436;-7.331304537906686;-1.6659532110449522
3.98436;-6.3050767592036845;-1.2732072959924494
4.18436;-5.411839072712501;-0.9195697961632465
4.38436;-4.650287562392838;-0.6215239184423194
4.58436;-4.00836486764677;-0.38059046953918063
4.78436;-3.47016995351217;-0.19146166232774142
4.98436;-3.019370333200542;-0.046211196319599246
5.18436;-2.6408791006434567;0.0634867948320883
5.38436;-2.3215863959667975;0.14524446865259044
5.58436;-2.050520180015488;0.20552216416227775
5.78436;-1.8187838014361586;0.2494844146939199
5.98436;-1.619275951069652;0.2811233792728176
6.18436;-1.4463971140702143;0.3034317487264593
6.38436;-1.2957697302425704;0.3185885098786647
6.58436;-1.1639144843315394;0.32820854757017237
6.78436;-1.0480871877906037;0.3334468753288409
6.98436;-0.9585767341164952;0.3226535271737321
7.18436;-0.8666819458187207;0.3233586924446228
