distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
5.128893;10.00712938;0.00413606;-4.51053212;-1.15395525;4.34677807;10.1300192970591;-3.6124415527440266;-6.441089335753186;-2.1707996743150733;-5.7832412270591
5.328893;9.60771318;0.00171931;-4.06286913;-0.96685676;4.57970659;9.717511563379366;-3.279457034211709;-5.829914628549703;-1.8583479391676576;-5.1378049733793665
5.528893;9.2178155;0.00062429;-3.66880405;-0.8151377;4.73449803;9.31889409441959;-2.984162914940182;-5.289806085948257;-1.6002331494794086;-4.5843960644195905
5.728893;8.83954502;0.00012729;-3.3208013;-0.69123221;4.82763879;8.934368359238988;-2.721449691379975;-4.810899738505166;-1.3852798778590132;-4.106729569238988
5.928893;8.47421989;-9.091e-05;-3.01254433;-0.58934666;4.872238;8.564020879192533;-2.487020310521297;-4.384932297253822;-1.204762568671236;-3.691782879192533
6.128893;8.12254524;-0.00017621;-2.73871198;-0.50501659;4.87864046;8.207833141768537;-2.2772417137289342;-4.004943892552884;-1.0519509680396033;-3.3291926817685376
6.328893;7.7847145;-0.00019772;-2.49480757;-0.43477962;4.85492958;7.865694495060671;-2.089026979863478;-3.6650424959515027;-0.9217379351971928;-3.010764915060671
6.528893;7.46064635;-0.00018899;-2.27700104;-0.37593332;4.807523;7.537415818856254;-1.9197410524744258;-3.3602161017510865;-0.8101517663818285;-2.7298928188562543
6.728893;7.15007378;-0.00016667;-2.08202898;-0.32635494;4.74152319;7.222742804474934;-1.7671248100611467;-3.08618205789109;-0.7140948044137876;-2.4812196144749343
6.928893;6.85263397;-0.00013938;-1.90709551;-0.2843665;4.66103258;6.921368258305692;-1.6292335193776057;-2.839265453052085;-0.6311021589280863;-2.260335678305692
7.128893;6.56793613;-0.00011183;-1.74980468;-0.24863301;4.56938662;6.63294317161958;-1.504386649906454;-2.6163003661287894;-0.5591699017131255;-2.0635565516195795
7.328893;6.29558555;-8.666e-05;-1.60808084;-0.21808543;4.46933262;6.3570864821938935;-1.3911267232792779;-2.4145492151608776;-0.4966271389146153;-1.8877538621938932
7.528893;6.03517744;-6.526e-05;-1.4801265;-0.19186212;4.36312355;6.093393553584804;-1.288185392855315;-2.231636522890628;-0.44208461072948846;-1.7302700035848035
