distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.528893;36.62582909128879;36.48343037570531;46.629380894436466;43.57711620162918;43.22011821402233
1.728893;26.371930888486325;26.35439632531949;31.757482373112413;30.13181676822143;29.941716934443775
1.928893;21.009867480410737;21.06691729036086;24.000511817883485;23.117603657492513;23.014406416298186
2.128893;18.06003922857536;18.159412641260992;19.776276572950437;19.289389853805517;19.232530320196535
2.328893;16.344576371742708;16.465063368650718;17.368067468835186;17.09587472867808;17.064137651025792
2.528893;15.27759743574418;15.405129726164535;15.916443344045968;15.762048474281094;15.744096293411353
2.728893;14.557412907581508;14.68270680439377;14.977099409936592;14.887940492895115;14.877622681839755
2.928893;14.024762103653055;14.14181780918511;14.31510401250731;14.262366039335335;14.256310564051379
3.128893;13.594143483596385;13.699249365218712;13.80436168884212;13.772126784418935;13.768470695822357
3.328893;13.219183394253598;13.310234293828948;13.37658690004202;13.356010361924145;13.35371837107701
3.528893;12.874626935059172;12.950646370401158;12.99466341277404;12.980807198700091;12.97930117112067
3.728893;12.546759261865482;12.607558715706595;12.638450789238156;12.62854621567018;12.627501888817433
3.928893;12.228226857677052;12.27415986347011;12.29711440125525;12.28960262497571;12.288837332015097
4.128893;11.915203588415983;11.94698685303066;11.964939386995857;11.958938701067412;11.958349036123066
4.328893;11.605825142179338;11.624407922915106;11.639029785573536;11.63403857329073;11.633565631476706
4.528893;11.299317109326326;11.305785813624594;11.31803709932926;11.313767536780858;11.313377453584035
4.728893;10.995505615693572;10.991014392286225;11.001454684101752;10.997739294522448;10.997412309928317
4.928893;10.69454049278653;10.68026116105407;10.689224731458186;10.685963698827155;10.685687990931832
5.128893;10.396737397188254;10.37382384922514;10.381518713894579;10.37865009757684;10.378418296011251
5.328893;10.102487057367107;10.072050530211268;10.07861452441838;10.076097399229731;10.075904611088268
5.528893;9.812202790702015;9.77529531287295;9.780827796496625;9.778632722515118;9.778475416000106
5.728893;9.526290119917315;9.483894096677561;9.488473774434366;9.486577442747452;9.486452819479211
5.928893;9.24512935520133;9.198151744060263;9.201846544123551;9.200228811103685;9.200134457939805
6.128893;8.96906592827146;8.918335819930995;8.921208220580338;8.919850511228532;8.919784212301305
6.328893;8.698405459482148;8.64467415397059;8.646783905107885;8.645668399914038;8.645628040371305
6.528893;8.433411776455431;8.377354653549245;8.37876001936303;8.377869285905655;8.37785280771796
6.728893;8.1743068070954;8.116526451198272;8.11728462989664;8.116601501864645;8.116606888615449
6.928893;7.921271676349923;7.862301840863317;7.862468945270842;7.8619765334336265;7.8620018105862215
7.128893;7.674448575199119;7.614758668806287;7.614389492537964;7.614071260039604;7.614114502772535
7.328893;7.433943114645181;7.373942968225645;7.373090668126258;7.3729305307637505;7.372989874776174
7.528893;7.19982696742163;7.139871700245426;7.138587469620627;7.138569898663573;7.1386435513278705
