distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
3.128893;9.31834765;8.95921764;-18.64109694;-10.68956646;-11.05309811;13.80436168884212;-11.800663566130341;-21.800226587042825;-13.05679623271178;-24.85745979884212
3.228893;10.30498611;6.35029879;-17.43201081;-9.435747;-10.21247291;13.58294518111705;-11.080876349245898;-20.40903075478071;-12.714541741871152;-23.79541809111705
3.328893;10.96648483;4.49004603;-16.33496016;-8.34275636;-9.22118567;13.37658690004202;-10.41808590722296;-19.135732121634025;-12.179686662819059;-22.597772570042018
3.428893;11.39523116;3.16561061;-15.33210118;-7.39296579;-8.1642252;13.181438137119125;-9.806778443953126;-17.967330802594535;-11.538884893166001;-21.345663337119127
3.528893;11.65853571;2.22406149;-14.4105541;-6.56566645;-7.09362335;12.99466341277404;-9.242045426247731;-16.892706805969397;-10.846241336526308;-20.08828676277404
3.728893;11.86728103;1.0833145;-12.77343675;-5.21170385;-5.03454506;12.638450789238156;-8.235298533509553;-14.987672640231601;-9.437697315728602;-17.672995849238156
3.928893;11.8311236;0.51624257;-11.36454237;-4.17877065;-3.19594686;12.29711440125525;-7.368271444069643;-13.357699060747542;-8.124789817185606;-15.49306126125525
4.128893;11.67521395;0.23984466;-10.1464434;-3.37217433;-1.60355912;11.964939386995857;-6.617365725576917;-11.954110641036378;-6.95113278141894;-13.568498506995857
4.328893;11.45521036;0.10875617;-9.0872433;-2.74355294;-0.2668297;11.639029785573536;-5.963626585614611;-10.738531249332953;-5.942232899958926;-11.905859485573536
4.528893;11.20043442;0.04835639;-8.16260075;-2.2501891;0.83600096;11.31803709932926;-5.391719638813032;-9.680274667447822;-5.090316500516228;-10.48203613932926
4.728893;10.92578574;0.02122236;-7.35245212;-1.86014015;1.73441582;11.001454684101752;-4.889149877482273;-8.754538450595;-4.377888986619478;-9.267038864101751
4.928893;10.63952921;0.00922472;-6.64006594;-1.54942351;2.45926449;10.689224731458186;-4.445664843843887;-7.941102070841185;-3.7842953976143;-8.229960241458187
