distance;e_pol;e_pol_damp
1.634731;-15.597174488010031;-20.642341911833938
1.834731;-13.479804098882513;-21.342823725690796
2.034731;-11.586109316720462;-19.851492211125752
2.234731;-9.979826119798831;-17.7569488538535
2.434731;-8.63963049277504;-15.651225994191632
2.634731;-7.523643466744397;-13.736207394234032
2.834731;-6.5904737726629214;-12.06109407360978
3.034731;-5.8050126980385786;-10.61793010997743
3.234731;-5.1390514215471725;-9.380200787970562
3.434731;-4.5703521646286305;-8.318053817633833
3.634731;-4.081444492078161;-7.4038572585496505
3.834731;-3.6585481550518226;-6.61381758716785
4.034731;-3.290711849037547;-5.928064815758813
4.234731;-2.9691546389881873;-5.330209132374468
4.434731;-2.686770780111896;-4.806775734747122
4.634731;-2.437758634276865;-4.346670696483577
4.834731;-2.217341534705557;-3.9407250971461356
5.034731;-2.021556239264965;-3.581322832284018
5.234731;-1.8470911131620313;-3.2621027767422155
5.434731;-1.691161115297088;-2.9777223315431525
5.634731;-1.5514102536743106;-2.7236699588345656
5.834731;-1.425834742770808;-2.4961162079979116
6.034731;-1.3127219213324899;-2.2917948059284066
6.234731;-1.210601289181424;-2.107907217620282
6.434731;-1.118204952896963;-1.9420455783835713
6.634731;-1.0344354427960119;-1.7921300718371436
6.834731;-0.9583393539783637;-1.656357730182947
7.034731;-0.8890856252860563;-1.5331603214304206
7.234731;-0.8259475386134971;-1.4211695115795004
7.434731;-0.7682877227628099;-1.3191878880928365
7.634731;-0.7155455990264653;-1.2261647350914564
7.834731;-0.6672268227214485;-1.1411756839206915
8.034731;-0.6228943651914189;-1.063405542535983
