distance;e_lj;e_lj_damp
1.634731;32.052934263409895;37.09810168723379
1.834731;2.9443653632700997;10.807384990078386
2.034731;-9.806186522572814;-1.5408036281675237
2.234731;-14.469251351326035;-6.692128617271365
2.434731;-15.213561290308384;-8.201965788891792
2.634731;-14.190591255286385;-7.978027327796749
2.834731;-12.509991841595316;-7.039371540648457
3.034731;-10.721609530114716;-5.908692118175864
3.234731;-9.071346962451976;-4.830197596028587
3.434731;-7.644375469521543;-3.8966738165163406
3.634731;-6.447469677041195;-3.1250569105697057
3.834731;-5.4553847347419016;-2.5001153026258747
4.034731;-4.6347613979822375;-1.997408431260971
4.234731;-3.9544049673733714;-1.5933504739870914
4.434731;-3.3883137041027087;-1.268308749467483
4.634731;-2.9156023726725997;-1.0066903104658875
4.834731;-2.519328141414214;-0.7959445789736348
5.034731;-2.185806317484104;-0.6260397244650511
5.234731;-1.9037724152744824;-0.48876075169429845
5.434731;-1.6640935187307364;-0.37753230248467196
5.634731;-1.4593610934348709;-0.28710138827461584
5.834731;-1.283618430573648;-0.213336965346544
6.034731;-1.1321443409643202;-0.1530714563684037
6.234731;-1.0010825520240492;-0.10377662358519091
6.434731;-0.8873310267600014;-0.063490401273393
6.634731;-0.7883312327271104;-0.03063660368597887
6.834731;-0.7019515569368817;-0.003933180732298203
7.034731;-0.626397204019333;0.017677492125031335
7.234731;-0.5601631487833805;0.03505882418262285
7.434731;-0.5019451115628281;0.04895505376719855
7.634731;-0.45066275974640224;0.059956376318588855
7.834731;-0.4053729645710923;0.06857589662815089
8.034731;-0.36529148700953407;0.07521969033502995
