distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.634731;-16.485554040141103;-16.383935206217277;-17.462441553001526;-17.453541698881025;-17.327484948810206
1.834731;-15.006702915977346;-14.92031384595413;-15.449961347316583;-15.440788637389902;-15.343597046151409
2.034731;-14.080387952926856;-14.005575893719602;-14.259662367261763;-14.250076933981827;-14.166025123051353
2.234731;-13.430434548864868;-13.364487013027716;-13.477741010782223;-13.467844791222541;-13.389835320138165
2.434731;-12.923838267341074;-12.864707041338384;-12.905956647616637;-12.895879035108207;-12.820606529166167
2.634731;-12.4940752568646;-12.440201766595187;-12.445511326680169;-12.435358870662519;-12.36127572089148
2.834731;-12.10699654353254;-12.05719292179626;-12.045764035660149;-12.035615796981993;-11.962025274323857
3.034731;-11.744812206436265;-11.698175724337391;-11.680301826313524;-11.67021505864816;-11.596845287783326
3.234731;-11.398222470951035;-11.354071529313892;-11.335248160439907;-11.325264564265213;-11.25205919475556
3.434731;-11.062411746940077;-11.020236718973305;-11.003337809094848;-10.993488273140079;-10.92049980471614
3.634731;-10.73495470318209;-10.69437954297467;-10.680831024205167;-10.671138852184129;-10.59847271120369
3.834731;-10.4147011702805;-10.375453133363008;-10.36587501312405;-10.35635804494537;-10.284142638676528
4.034731;-10.101174867395638;-10.063060515845844;-10.057622522924225;-10.04829452757762;-9.976664969284473
4.234731;-9.794246757779574;-9.75713292644894;-9.7557538828341;-9.746625489767311;-9.675714683809604
4.434731;-9.49395706528074;-9.457755790963077;-9.460216829059366;-9.45129616989389;-9.381229941185767
4.634731;-9.2004184900266;-9.165075127123012;-9.171084926053892;-9.162378093079356;-9.093272585533485
4.834731;-8.91376406405163;-8.879247969424268;-8.888480961066001;-8.879992347567478;-8.811952725334095
5.034731;-8.634119665189765;-8.600416954317504;-8.612536080574024;-8.60426864283258;-8.537388559792412
5.234731;-8.361590196635536;-8.328698166053156;-8.34336863988433;-8.335324105561018;-8.26968564141837
5.434731;-8.096253350768293;-8.064176235914404;-8.081073936980028;-8.073252975524275;-8.008926863725426
5.634731;-7.838157574150066;-7.806903372009925;-7.82571994827318;-7.818122313514905;-7.755168356083548
5.834731;-7.587322340124601;-7.5569004755738876;-7.577346355488927;-7.5699710072032795;-7.508438610631322
6.034731;-7.343739661566725;-7.314159317254723;-7.335965351724595;-7.328810560837966;-7.268739349493587
6.234731;-7.107376237066696;-7.078645200585306;-7.1015633788035775;-7.094626819539225;-7.0360472962655765
6.434731;-6.87817588265191;-6.850299792814925;-6.874103317482994;-6.867382148832998;-6.810316380624905
6.634731;-6.656062047960151;-6.629043945218738;-6.65352685881008;-6.6470177970966615;-6.591480109176285
6.834731;-6.440940300146745;-6.414780405276314;-6.4397569015701945;-6.43345628542342;-6.379453950882675
7.034731;-6.232700708110972;-6.207396368979655;-6.2326998873462705;-6.2266037361135975;-6.174137651192395
7.234731;-6.0312200890351235;-6.006765848062688;-6.032248023293815;-6.026352089672461;-5.975417427039897
7.434731;-5.8363640971798425;-5.812751842493659;-5.838281365533685;-5.832581183052883;-5.783168017339898
7.634731;-5.647989146098142;-5.6252083177947405;-5.6506697498402705;-5.64516067570129;-5.597254577100774
7.834731;-5.4659441625890155;-5.4439819922599675;-5.469274564826782;-5.463951818520899;-5.417534411585065
8.034731;-5.290072175343362;-5.268913942414463;-5.293950368216842;-5.288809066277576;-5.243858552141145
